x
Myiopagis subplacens
Myiopagis cotta
Myiopagis flavivertex
Myiopagis viridicata
Myiopagis caniceps
Myiopagis olallai
Tyrannulus elatus
Suiriri islerorum
Suiriri suiriri
Phyllomyias cinereiceps
Mecocerculus poecilocercus
Phyllomyias nigrocapillus
Mecocerculus calopterus
Mecocerculus minor
Phyllomyias zeledoni
Phyllomyias virescens
Conopias albovittatus
Conopias parvus
Conopias trivirgatus
Conopias cinchoneti
Phyllomyias plumbeiceps
Phyllomyias burmeisteri
Phyllomyias weedeni
Phyllomyias uropygialis
Mecocerculus hellmayri
Mecocerculus stictopterus
Camptostoma obsoletum
Camptostoma imberbe
Ornithion inerme
Ornithion semiflavum
Ornithion brunneicapillus
Zimmerius flavidifrons
Zimmerius viridiflavus
Zimmerius gracilipes
Zimmerius chrysops
Zimmerius bolivianus
Zimmerius acer
Zimmerius improbus
Zimmerius cinereicapilla
Zimmerius albigularis
Zimmerius vilissimus
Zimmerius villarejoi
Inezia inornata
Inezia subflava
Inezia caudata
Inezia tenuirostris
Euscarthmus meloryphus
Euscarthmus rufomarginatus
Phyllomyias urichi
Phyllomyias sclateri
Stigmatura budytoides
Myiophobus ochraceiventris
Myiophobus lintoni
Myiophobus pulcher
Myiotriccus ornatus
Hirundinea ferruginea
Pyrrhomyias cinnamomeus
Platyrinchus mystaceus
Platyrinchus cancrominus
Platyrinchus flavigularis
Platyrinchus saturatus
Platyrinchus coronatus
Platyrinchus platyrhynchos
Platyrinchus leucoryphus
Neopipo cinnamomea
Lophotriccus eulophotes
Lophotriccus vitiosus
Lophotriccus galeatus
Lophotriccus pileatus
Oncostoma cinereigulare
Oncostoma olivaceum
Hemitriccus minor
Atalotriccus pilaris
Hemitriccus griseipectus
Hemitriccus zosterops
Hemitriccus inornatus
Hemitriccus furcatus
Hemitriccus diops
Hemitriccus orbitatus
Hemitriccus granadensis
Hemitriccus cinnamomeipectus
Hemitriccus obsoletus
Hemitriccus josephinae
Hemitriccus kaempferi
Hemitriccus mirandae
Hemitriccus flammulatus
Hemitriccus spodiops
Hemitriccus striaticollis
Hemitriccus margaritaceiventer
Hemitriccus iohannis
Hemitriccus nidipendulus
Hemitriccus rufigularis
Hemitriccus minimus
Myiornis ecaudatus
Myiornis auricularis
Myiornis albiventris
Myiornis atricapillus
Poecilotriccus pulchellus
Poecilotriccus russatus
Poecilotriccus sylvia
Poecilotriccus plumbeiceps
Poecilotriccus fumifrons
Poecilotriccus senex
Poecilotriccus latirostris
Poecilotriccus capitalis
Poecilotriccus luluae
Poecilotriccus ruficeps
Poecilotriccus albifacies
Poecilotriccus calopterus
Todirostrum cinereum
Todirostrum viridanum
Todirostrum maculatum
Todirostrum pictum
Todirostrum poliocephalum
Todirostrum chrysocrotaphum
Todirostrum nigriceps
Cnipodectes superrufus
Cnipodectes subbrunneus
Taeniotriccus andrei
Tolmomyias sulphurescens
Tolmomyias assimilis
Tolmomyias traylori
Tolmomyias flaviventris
Tolmomyias flavotectus
Tolmomyias viridiceps
Tolmomyias poliocephalus
Rhynchocyclus olivaceus
Rhynchocyclus brevirostris
Rhynchocyclus pacificus
Rhynchocyclus fulvipectus
Phylloscartes gualaquizae
Phylloscartes lanyoni
Phylloscartes beckeri
Phylloscartes paulista
Phylloscartes virescens
Phylloscartes orbitalis
Phylloscartes difficilis
Phylloscartes roquettei
Phylloscartes flavovirens
Phylloscartes flaviventris
Phylloscartes venezuelanus
Phylloscartes eximius
Phylloscartes poecilotis
Phylloscartes chapmani
Phylloscartes ophthalmicus
Phylloscartes superciliaris
Phylloscartes sylviolus
Phylloscartes parkeri
Phylloscartes kronei
Phylloscartes nigrifrons
Phylloscartes ventralis
Phylloscartes ceciliae
Phylloscartes oustaleti
Pseudotriccus pelzelni
Pseudotriccus simplex
Pseudotriccus ruficeps
Corythopis torquatus
Corythopis delalandi
Mionectes oleagineus
Mionectes macconnelli
Mionectes rufiventris
Mionectes olivaceus
Mionectes striaticollis
Leptopogon superciliaris
Leptopogon amaurocephalus
Leptopogon taczanowskii
Leptopogon rufipectus
Tachuris rubrigastra
Piprites pileata
Piprites griseiceps
Piprites chloris
Oxyruncus cristatus
Pachyramphus spodiurus
Pachyramphus rufus
Pachyramphus viridis
Pachyramphus xanthogenys
Pachyramphus versicolor
Pachyramphus niger
