species,log_mass,S,color
Balaena_mysticetus,18.193669459969,0.0727236817693897,#CD0BBC
Balaenoptera_acutorostrata,15.5359697796881,0.071117979137613,#DF536B
Balaenoptera_borealis,16.9113710201463,0.0710808821142383,#DF536B
Balaenoptera_edeni,16.8112428300183,0.0707596711324942,#DF536B
Balaenoptera_musculus,18.8545473797401,0.0717388952636761,#DF536B
Balaenoptera_physalus,17.6763667500584,0.0717280909008956,#DF536B
Berardius_arnuxii,15.7614207098767,0.0711279978980922,#61D04F
Berardius_bairdii,16.2473679901774,0.072574508177539,#61D04F
Caperea_marginata,17.281246460139,0.0724388600796265,#CD0BBC
Cephalorhynchus_commersonii,11.1899615783738,0.21217409672852,#28E2E5
Cephalorhynchus_eutropia,10.7144177687525,0.211654242878348,#28E2E5
Cephalorhynchus_heavisidii,10.596634483096,0.212108654327748,#28E2E5
Cephalorhynchus_hectori,10.8197780844103,0.212276005597023,#28E2E5
Delphinapterus_leucas,14.1387822856928,0.10973657766593,#2297E6
Delphinus_delphis,11.2806363451448,0.213103190966851,#28E2E5
Eschrichtius_robustus,17.1232768801358,0.0712744457845429,#DF536B
Eubalaena_australis,16.9510047699804,0.0803038396870595,#CD0BBC
Eubalaena_glacialis,16.9510047699804,0.0810364686261851,#CD0BBC
Feresa_attenuata,12.0435537160324,0.208982420944513,#28E2E5
Globicephala_macrorhynchus,13.4953052800328,0.209128746720976,#28E2E5
Globicephala_melas,13.5923670066501,0.209137742924684,#28E2E5
Grampus_griseus,12.8674711277755,0.209932688754811,#28E2E5
Hyperoodon_ampullatus,15.0373314572024,0.0708639020052301,#61D04F
Hyperoodon_planifrons,14.9141228499657,0.071261654504568,#61D04F
Indopacetus_pacificus,14.6039679183285,0.0707435967524424,#61D04F
Inia_geoffrensis,11.7070995027782,0.0725643261124048,black
Kogia_breviceps,12.9750227895056,0.0710076317572376,black
Kogia_simus,12.1176056277912,0.0712166429915944,black
Lagenodelphis_hosei,12.0076217068063,0.212489503803801,#28E2E5
Lagenorhynchus_acutus,12.1362806155154,0.211828613897152,#28E2E5
Lagenorhynchus_albirostris,12.1369093666676,0.211085393393854,#28E2E5
Lagenorhynchus_australis,11.6952469384308,0.212091530512435,#28E2E5
Lagenorhynchus_cruciger,11.6082355538655,0.211651246474757,#28E2E5
Lagenorhynchus_obliquidens,11.6054541436207,0.213366614934915,#28E2E5
Lagenorhynchus_obscurus,11.7558715651492,0.211594909020369,#28E2E5
Lipotes_vexillifer,11.627488388292,0.0727714626404785,black
Lissodelphis_borealis,11.6351430976945,0.211570676593672,#28E2E5
Lissodelphis_peronii,11.6613454700885,0.21145497010402,#28E2E5
Megaptera_novaeangliae,17.2167079399598,0.0705733767974944,#DF536B
Mesoplodon_bidens,15.0392859895864,0.071556904017086,#61D04F
Mesoplodon_bowdoini,14.7710219991456,0.0717268217322547,#61D04F
Mesoplodon_carlhubbsi,15.0392859895864,0.0716237607629735,#61D04F
Mesoplodon_densirostris,14.6484196765516,0.0712805126390693,#61D04F
Mesoplodon_europaeus,15.5382771592768,0.0717599865092315,#61D04F
Mesoplodon_ginkgodens,14.2209756660724,0.073041892272246,#61D04F
Mesoplodon_grayi,14.8802212880602,0.0712805126390693,#61D04F
Mesoplodon_hectori,13.8155105579643,0.071596201947027,#61D04F
Mesoplodon_layardii,14.2209756660724,0.0712805126390693,#61D04F
Mesoplodon_mirus,14.5574478979317,0.0714897658721559,#61D04F
Mesoplodon_stejnegeri,15.3841264800448,0.0713805468849482,#61D04F
Monodon_monoceros,13.7516400163454,0.109620881469557,#2297E6
Neophocaena_phocaenoides,10.3889953683178,0.110173430830306,#F5C710
Orcaella_brevirostris,12.154779298511,0.208970217524292,#28E2E5
Orcinus_orca,15.5433994891266,0.18496921043602,#28E2E5
Peponocephala_electra,12.2356314477717,0.209454397945617,#28E2E5
Phocoena_dioptrica,11.0821425488778,0.10989938986113,#F5C710
Phocoena_phocoena,10.8729574693878,0.109499106235728,#F5C710
Phocoena_sinus,10.6717753682983,0.11013109363017,#F5C710
Phocoena_spinipinnis,11.0020996745376,0.110590311653208,#F5C710
Phocoenoides_dalli,11.5715955190395,0.109953874335781,#F5C710
Physeter_catodon,16.4924800402706,0.0712028248129576,black
Platanista_gangetica,11.4455237554848,0.0913988397987967,black
Platanista_minor,11.2383601899691,0.0913988397987967,black
Pontoporia_blainvillei,10.609057006181,0.0717806975913093,black
Pseudorca_crassidens,14.1229952577122,0.209724820590228,#28E2E5
Sotalia_fluviatilis,10.6650743849186,0.211603313087693,#28E2E5
Sousa_chinensis,12.5425448464371,0.212678421258648,#28E2E5
Stenella_attenuata,11.0933653371403,0.212686070952014,#28E2E5
Stenella_coeruleoalba,11.8643071442694,0.213029654054495,#28E2E5
Stenella_frontalis,11.6082355538655,0.213029654054495,#28E2E5
Stenella_longirostris,10.8297286152635,0.212654575556211,#28E2E5
Steno_bredanensis,11.7752897294377,0.21247143954852,#28E2E5
Tasmacetus_shepherdi,14.7318012898384,0.0714383360918111,#61D04F
Tursiops_truncatus,12.5462542439546,0.213457408111122,#28E2E5
Ziphius_cavirostris,15.3789045298027,0.0722236618141971,#61D04F
