"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","Scutellosaurus lawleri","Sinemurian","Pliensbachian",199.3,182.7,191,-111.027779,35.679169
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","Scutellosaurus lawleri","Sinemurian","Pliensbachian",199.3,182.7,191,-111.073608,35.736668
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Orodromeus","Orodromeus makelai","Campanian","",83.6,72.1,77.85,-112.182777,47.8125
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Maiasaura","Maiasaura peeblesorum","Campanian","",83.6,72.1,77.85,-112.182777,47.8125
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Efraasia","Efraasia minor","Norian","",228,208.5,218.25,8.978333,49.023609
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Tethyshadros","Tethyshadros insularis","Early Campanian","Middle Campanian",83.5,70.6,77.05,13.588611,45.77861
"Chordata","Aves","Suliformes","Anhingidae","Anhinga","Anhinga subvolans","Hemingfordian","",20.43,15.97,18.2,-82.599998,29.700001
"Chordata","Aves","Accipitriformes","Accipitridae","Promilio","Promilio floridanus","Hemingfordian","",20.43,15.97,18.2,-82.599998,29.700001
"Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo fluviaticus","Orellan","",33.9,33.3,33.6,-104.866669,40.900002
"Chordata","Aves","Cathartiformes","Cathartidae","Hadrogyps","Hadrogyps aigialeus","Langhian","",15.97,13.82,14.895,-118.5,35.299999
"Chordata","Aves","Apodiformes","NO_FAMILY_SPECIFIED","Primapus","Primapus lacki","Ypresian","",56,47.8,51.9,-0.683333,50.783333
"Chordata","Aves","Apodiformes","NO_FAMILY_SPECIFIED","Primapus","Primapus lacki","Ypresian","",56,47.8,51.9,0.833333,51.400002
"Chordata","Aves","Charadriiformes","Alcidae","Miomancalla","Miomancalla wetmorei","Tortonian","Messinian",11.62,5.333,8.4765,-117.712219,33.561943
"Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ichthyornis","Ichthyornis dispar","Early Coniacian","Early Campanian",89.3,70.6,79.95,-101,39
"Chordata","Aves","Anseriformes","Vegaviidae","Neogaeornis","Neogaeornis wetzeli","Late Maastrichtian","",70.6,66,68.3,-73.116669,-36.716667
"Chordata","Aves","Alexornithiformes","Alexornithidae","Alexornis","Alexornis antecedens","Santonian","",86.3,83.6,84.95,-115.73333,30.049999
"Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Yacoraitichnus","Yacoraitichnus avis","Late Maastrichtian","",70.6,66,68.3,-66,-25.5
"Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Patagonichnornis","Patagonichnornis venetiorum","Late Campanian","Early Maastrichtian",83.5,66,74.75,-69.466667,-41.349998
"Chordata","Aves","Casuariiformes","Casuariidae","Emuarius","Emuarius gidju","Late Oligocene","Early Miocene",28.4,15.97,22.185,140.733337,-27.75
"Chordata","Aves","Casuariiformes","Casuariidae","Dromaius","Dromaius ocypus","Pliocene","",5.333,2.588,3.9605,140.733337,-27.75
"Chordata","Aves","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Late Pliocene","",3.6,2.588,3.094,138.416672,-28.766666
"Chordata","Aves","Casuariiformes","Casuariidae","Dromaius","Dromaius ocypus","Pliocene","",5.333,2.588,3.9605,140.733337,-27.75
"Chordata","Aves","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Early Pliocene","",5.333,3.6,4.4665,150.633331,-26.75
"Chordata","Aves","NO_ORDER_SPECIFIED","Lithornithidae","Lithornis","Lithornis vulturinus","Early Eocene","",55.8,48.6,52.2,0.75,51.25
"Chordata","Aves","NO_ORDER_SPECIFIED","Lithornithidae","Paracathartes","Paracathartes howardae","Early Eocene","",55.8,48.6,52.2,-108.37944,43.025002
"Chordata","Aves","Ciconiiformes","NO_FAMILY_SPECIFIED","Eocathartes","Eocathartes robustus","Lutetian","",47.8,41.3,44.55,11.953611,51.321945
"Chordata","Aves","Gruiformes","Bathornithidae","Neocathartes","Neocathartes grallator","Late Eocene","",37.2,33.9,35.55,-108.37944,43.025002
"Chordata","Aves","Leptosomiformes","NO_FAMILY_SPECIFIED","Plesiocathartes","Plesiocathartes europaeus","Late Eocene","Early Oligocene",37.2,28.4,32.8,1.433333,44.383331
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Massospondylidae","Massospondylus","Massospondylus carinatus","Hettangian","Sinemurian",201.3,190.8,196.05,28.623056,-28.509443
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Megaloolithidae","Megaloolithus","Megaloolithus siruguei","Early Maastrichtian","",70.6,66,68.3,1.078398,42.113537
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Dicraeosauridae","Amargasaurus","Amargasaurus cazaui","Barremian","",129.4,125,127.2,-70.194786,-39.481979
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Telmatosaurus","Telmatosaurus transsylvanicus","Early Maastrichtian","",70.6,66,68.3,22.845142,45.603615
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Dryosauridae","Valdosaurus","Valdosaurus canaliculatus","Berriasian","",145,139.8,142.4,22.4,46.950001
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Styracosaurus","Styracosaurus albertensis","Late Campanian","",83.5,70.6,77.05,-111.565781,50.742214
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","Centrosaurus apertus","Campanian","",83.6,72.1,77.85,-111.800003,50.73
