x
Sorex dispar
Sorex fumeus
Sorex sonomae
Sorex neomexicanus
Sorex palustris
Sorex bendirii
Sorex bairdi
Sorex pacificus
Sorex monticolus
Sorex ornatus
Sorex vagrans
Sorex hoyi
Sorex preblei
Sorex leucogaster
Sorex portenkoi
Sorex camtschatica
Sorex jacksoni
Sorex pribilofensis
Sorex ugyunak
Sorex lyelli
Sorex haydeni
Sorex cinereus
Sorex longirostris
Sorex milleri
Sorex emarginatus
Sorex rohweri
Sorex excelsus
Sorex bedfordiae
Sorex cylindricauda
Sorex roboratus
Sorex raddei
Sorex samniticus
Sorex maritimensis
Sorex arcticus
Sorex tundrensis
Sorex asper
Sorex daphaenodon
Sorex granarius
Sorex satunini
Sorex araneus
Sorex antinorii
Sorex coronatus
Sorex hosonoi
Sorex thibetanus
Sorex yukonicus
Sorex minutissimus
Sorex gracillimus
Sorex volnuchini
Sorex minutus
Sorex unguiculatus
Sorex isodon
Sorex shinto
Sorex caecutiens
Sorex mirabilis
Sorex alpinus
Notiosorex crawfordi
Notiosorex cockrumi
Megasorex gigas
Neomys fodiens
Neomys teres
Neomys anomalus
Nectogale elegans
Chimarrogale phaeura
Chimarrogale himalayica
Chimarrogale styani
Chimarrogale platycephalus
Episoriculus fumidus
Chodsigoa hypsibia
Chodsigoa caovansunga
Chodsigoa parca
Chodsigoa sodalis
Soriculus nigrescens
Episoriculus macrurus
Episoriculus leucops
Episoriculus caudatus
Anourosorex yamashinai
Anourosorex squamipes
Solenodon paradoxus
Manis javanica
Manis pentadactyla
Phataginus tetradactyla
Phataginus tricuspis
Smutsia temminckii
Smutsia gigantea
Urocyon littoralis
Urocyon cinereoargenteus
Nyctereutes procyonoides
Otocyon megalotis
Cuon alpinus
Canis rufus
Canis mesomelas
Canis aureus
Canis lupus
Canis anthus
Speothos venaticus
Canis latrans
Canis simensis
Canis adustus
Chrysocyon brachyurus
Lycaon pictus
Dusicyon australis
Cerdocyon thous
Atelocynus microtis
Pseudalopex gymnocercus
Pseudalopex culpaeus
Pseudalopex fulvipes
Pseudalopex griseus
Pseudalopex vetulus
Pseudalopex sechurae
Vulpes cana
Vulpes zerda
Vulpes velox
Vulpes macrotis
Vulpes lagopus
Vulpes vulpes
Vulpes rueppellii
Vulpes ferrilata
Vulpes corsac
Vulpes chama
Vulpes pallida
Ommatophoca rossii
Leptonychotes weddellii
Hydrurga leptonyx
Lobodon carcinophaga
Mirounga leonina
Mirounga angustirostris
Neomonachus schauinslandi
Monachus monachus
Neomonachus tropicalis
Erignathus barbatus
Pagophilus groenlandicus
Histriophoca fasciata
Phoca vitulina
Phoca largha
Pusa hispida
Pusa caspica
Pusa sibirica
Halichoerus grypus
Cystophora cristata
Odobenus rosmarus
Callorhinus ursinus
Zalophus wollebaeki
Zalophus californianus
Eumetopias jubatus
